species,bl,cut,rs,rd,ro,le,in,ex,pr,cu,tr,bo,se,Ho,ptI,ptII,tu,en,dis,dsa,len,ngr,ngd,ngsu,hu,ngsn,ngss,ngpa,im,gla,acm,cd,pps,ch,lga,efo,eca,es,gos,gsn,gsp,ag,gad,iadp,iado,an,aos,ad,lcu,cl,clt,fca,rot,rof,roti,d,tap,tIw,tIpl,it,tIIw,pli,rob,rol,gso,pab
Paraquanothrus spooneri,2,0,0,1,2,1,2,1,1,0,0,1,8,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,2,2,1,0,1,0,1,0,0,0,1,3,0,1,2,1,0,2,2,3,0,1,0,0,1,4,0,0,0,1,0,1,0,1,0,1,3,1
Halozetes bathamae,2,0,0,1,2,1,4,2,0,0,0,1,5,0,?,0,0,0,?,1,0,0,0,1,0,0,0,0,2,3,?,?,?,0,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Halozetes belgicae,2,0,0,0,3,1,4,2,2,0,0,1,5,0,1,1,0,0,?,1,0,0,0,2,0,2,0,0,2,3,0,1,1,?,1,0,0,1,0,3,1,1,2,1,2,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,3,1
Halozetes capensis,2,0,0,0,2,1,4,2,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,2,3,0,1,1,0,?,0,0,0,0,3,1,1,2,1,2,2,2,3,0,0,0,0,?,1,0,2,0,1,1,1,1,1,0,?,3,1
Halozetes edwardensis,3,0,0,0,2,1,4,2,1,0,0,1,5,0,1,1,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,4,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Halozetes fulvus,2,0,0,0,2,1,4,2,1,0,0,1,5,0,1,1,0,0,?,0,0,0,0,1,0,0,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,0,0,0,0,1,1,0,0,0,1,1,1,1,?,?,?,?,?
Halozetes impeditus,2,0,0,0,2,2,4,2,1,0,0,1,5,0,?,?,0,0,?,1,0,0,0,?,0,1,0,0,2,3,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,0,0,0,0,0,0,1,1,1,1,?,?,?,?,?
Halozetes intermedius,2,0,0,1,2,1,4,2,1,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes littoralis,2,0,0,0,2,1,4,2,0,0,0,1,5,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,?,0,0,0,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,1
Halozetes maquariensis,3,0,0,0,2,1,4,2,0,0,0,1,5,0,?,?,0,0,?,0,0,0,0,1,0,1,0,0,2,?,?,?,?,?,?,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?
Halozetes marinus,2,0,0,1,2,2,4,2,1,0,0,1,3,0,?,?,0,0,?,0,0,0,0,2,0,1,0,0,2,?,?,?,?,?,1,0,0,1,0,3,1,1,2,1,2,2,2,3,?,0,0,0,?,?,?,0,0,1,0,1,0,4,?,?,3,1
